lemma,pos,bci_av_id
baiser,VERB,15152
baisser,PRON,24688
baladeur,VERB,23903
balai,VERB,12908
balance,VERB,16729
balancer-,PRON,17486
balançoire,VERB,17485
balançoire à bascule,VERB,16751
balcon,VERB,12620
balder,PREP,22817
baleine,VERB,18227
balle,VERB,12621
ballet,VERB,23414
ballon,VERB,12622
ballon de football américain,VERB,21807
ballon de rugby,VERB,21807
banane,VERB,12623
banc,VERB,12665
banc de poissons,VERB,23206
bandage,VERB,12625
bande,VERB,15214
bandy,VERB,21042
bangladesh,VERB,24607
banjo,VERB,23808
banque,VERB,12626
baptême,VERB,21103
baptême religieux,VERB,23156
bar,VERB,12627
bar mitsvah,VERB,21112
barbe,VERB,12644
baromètre,VERB,23028
barque,VERB,22076
barre,VERB,22371
barre de chocolat,VERB,22373
barre horizontale,VERB,24180
barre sucrée,VERB,22372
barrière,VERB,14167
barrière contraceptive,VERB,12631
barrière de corail,VERB,23458
bas,ADJ,15401
bas du corps,VERB,24182
bascule,VERB,23197
base,VERB,24120
baseball,VERB,12632
basketball,VERB,12634
basse,VERB,23809
bassin,VERB,24511
bassin de natation,VERB,16219
basson_,VERB,23812
bat mitsvah,VERB,21111
bataille,VERB,24855
bateau,VERB,12869
bateau de croisière,VERB,22082
bateau pousseur,VERB,22081
bateau à moteur,VERB,22074
bateau à vapeur,VERB,22084
bateau-citerne,VERB,22070
bateau-logement,VERB,22089
batte,VERB,12635
batterie,VERB,12638
batteur,VERB,22563
battre-,PRON,14175
baver,PRON,24433
bavette,VERB,12833
bavoir,VERB,12833
beau,ADJ,12645
beau-père,PREP,17260
beaucoup,ADJ,15671
beauté,VERB,22903
beignet,VERB,22124
belgique,VERB,22609
belle-mère,PREP,17261
berakhah,VERB,12891
berceuse,VERB,24689
berger,PREP,23661
berk,OTHER,17963
betterave rouge,VERB,12654
beurre,VERB,13095
beurre d'arachide,VERB,15985
biberon,VERB,24409
bible,VERB,21069
bibliothèque,VERB,15201
bibliothécaire,PREP,23568
bicyclette,VERB,12834
bicyclette tandem,VERB,21816
bien que,NOUN,12367
bientôt,ADJ,17212
bienveillance,VERB,14456
bienvenue,OTHER,18223
bijou,VERB,14971
bijouterie,VERB,24826
billard,VERB,22099
billard américain,VERB,22100
billet de banque,VERB,23604
bindi,VERB,12836
bingo,VERB,23571
biochimie,VERB,21545
biochimiste,PREP,21563
biologie,VERB,21546
biologiste,PREP,21564
biscuit,VERB,13409
bisexualité,VERB,24024
bisexuel,ADJ,24023
bison,VERB,12917
bisou,VERB,15152
bizarre,ADJ,17274
bière,VERB,12653
blaguer,PRON,14974
blanc_,NOUN,18242
blanchisserie,VERB,15179
blesser,PRON,14942
blesser-,PRON,14913
bleu,VERB,24419
bleu indigo,NOUN,14938
bleu_,NOUN,12864
bleuet,VERB,12866
blin,VERB,23949
blindé,VERB,17504
bliss,VERB,23031
bloc,VERB,12860
bloc-notes,VERB,15734
blocs,VERB,23454
